S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
R0001111001000101101 | 325913/576000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 1/8 | 3/20 | 1/2 | 5/8 |
  30458011/144000000 | 7 |
  23106672471169194578504863849719878199044799867179659633227242018220925991178192
  379345773361/6980693443712192642287500000000000000000000000000000000000000000000
  0000000000000000000000000 | 29 | 973251441/1000000000
R000111100100010111 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 1/8 | 3/20 | 5/8 | 3/4 | 2017/10000
  | 7 |
  673672765956098927142310828173504802963070228876966728964124334132956433561/1911
  453185360483985277824103832244873046875000000000000000000000000000000000 | 29 |
  188629983/200000000
R000111100100011 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 61/240 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 |
  2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  60938259/62500000
R0001111001001 | 311801/480000 | 294161/360000 | 2017/10400 | 2880463/2080000 |
  7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | 5357783/24000000 | 3 |
  41785501961581440244837663999744795328319577152822442148710926180973860667305154
  8481/937033418955202560000000000000000000000000000000000000000000000000000000000
  000000000 | 29 | 194016243/200000000
R000111100101 | 347081/720000 | 294161/360000 | 2017/10400 | 2880463/2080000 |
  7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 3/4 | 1 | 2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  458302573/500000000
R00011110011000 | 347081/720000 | 311801/480000 | 2017/10400 | 3283863/4160000 |
  7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000 | 3 |
  410339953/1280000000 | 27mass | 427502059381/437400000000
R0001111001100100000 | 347081/720000 | 325913/576000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 3/20 | 7/40 | 1/2 | 5/8 |
  2017/10000 | 3 |
  800227202780771218665085568409309842787422556231827547237639796222921/2501481927
  766112676181364804506301879882812500000000000000000000000000 | 27mass |
  1087268312311/1093500000000
R0001111001100100001 | 325913/576000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 3/20 | 7/40 | 1/2 | 5/8 |
  30458011/144000000 | 3 |
  48529103239558766903564985007208311350117662783547581900080030809126425072063688
  8856659073361/153268238492637355150147584000000000000000000000000000000000000000
  0000000000000000000000000000 | 27mass | 265162548289/273375000000
R000111100110010001 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 3/20 | 7/40 | 5/8 | 3/4 |
  2017/10000 | 3 |
  800227202780771218665085568409309842787422556231827547237639796222921/2501481927
  766112676181364804506301879882812500000000000000000000000000 | 27mass |
  408881110321/437400000000
R00011110011001001 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 3/4 | 7/8 | 7/40 | 1/5 | 1/2 | 3/4 |
  2017/10000 | 3 | 42618606817/163840000000 | 27mass | 2184439887689/2187000000000
R0001111001100101000000 | 347081/720000 | 325913/576000 | 3283863/4160000 |
  695753/640000 | 7/30 | 39/160 | 7/8 | 15/16 | 3/20 | 7/40 | 1/2 | 5/8 |
  2017/10000 | 7 |
  3984971589986262922472825899184074139709174536234176730926693871691151441/127445
  03493728637695312500000000000000000000000000000000000000000000000000 | 27mass |
  1085227412659/1093500000000
R000111100110010100000100 | 347081/720000 | 325913/576000 | 3283863/4160000 |
  695753/640000 | 7/30 | 39/160 | 15/16 | 1 | 3/20 | 13/80 | 1/2 | 9/16 |
  2017/10000 | 15 |
  459011231625063017148628591454143798964050648770020405723773796513081609/1692601
  442337036132812500000000000000000000000000000000000000000000000000 | 27mass |
  2184024313949/2187000000000
R000111100110010100000101 | 347081/720000 | 325913/576000 | 3283863/4160000 |
  695753/640000 | 7/30 | 39/160 | 15/16 | 1 | 3/20 | 13/80 | 9/16 | 5/8 |
  2017/10000 | 15 |
  459011231625063017148628591454143798964050648770020405723773796513081609/1692601
  442337036132812500000000000000000000000000000000000000000000000000 | 27mass |
  1056212558017/1093500000000
R000111100110010100000110 | 347081/720000 | 325913/576000 | 3283863/4160000 |
  695753/640000 | 7/30 | 39/160 | 15/16 | 1 | 13/80 | 7/40 | 1/2 | 9/16 |
  2017/10000 | 15 |
  421953051633530661950459183374229183740564196471497899018288193607706609/1571752
  488380298018455505371093750000000000000000000000000000000000000000 | 27mass |
  436700178973/437400000000
R000111100110010100000111 | 347081/720000 | 325913/576000 | 3283863/4160000 |
  695753/640000 | 7/30 | 39/160 | 15/16 | 1 | 13/80 | 7/40 | 9/16 | 5/8 |
  2017/10000 | 15 |
  421953051633530661950459183374229183740564196471497899018288193607706609/1571752
  488380298018455505371093750000000000000000000000000000000000000000 | 27mass |
  42208671277/43740000000
R000111100110010100001 | 347081/720000 | 325913/576000 | 3283863/4160000 |
  695753/640000 | 39/160 | 61/240 | 7/8 | 1 | 3/20 | 7/40 | 1/2 | 5/8 | 2017/10000
  | 7 |
  518829855322817717838343378628972557005235824090421746548554685260776508561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 |
  27mass | 66246076412929889/67108864000000000
R000111100110010100011 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 39/160 | 61/240 | 7/8 | 1 | 3/20 | 7/40 | 1/2 | 5/8 |
  2017/10000 | 7 |
  518829855322817717838343378628972557005235824090421746548554685260776508561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 |
  27mass | 66354372335576929/67108864000000000
R0001111001100101001 | 325913/576000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 3/20 | 7/40 | 1/2 | 5/8 |
  30458011/144000000 | 7 |
  18340869058955507862835865266717824080317774691902003853527418384663874267766187
  283848373361/6038831752085842454634624000000000000000000000000000000000000000000
  0000000000000000000000000 | 27mass | 2151361307111/2187000000000
R000111100110010101 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 3/20 | 7/40 | 5/8 | 3/4 | 2017/10000
  | 7 |
  518829855322817717838343378628972557005235824090421746548554685260776508561/1653
  552656545566637068986892700195312500000000000000000000000000000000000000 |
  27mass | 1034821266073/1093500000000
R000111100110010110000 | 347081/720000 | 325913/576000 | 3283863/4160000 |
  695753/640000 | 7/30 | 39/160 | 7/8 | 1 | 7/40 | 1/5 | 1/2 | 5/8 | 2017/10000 |
  7 | 42618606817/163840000000 | 27mass | 1091199169249/1093500000000
R000111100110010110001 | 347081/720000 | 325913/576000 | 3283863/4160000 |
  695753/640000 | 39/160 | 61/240 | 7/8 | 1 | 7/40 | 1/5 | 1/2 | 5/8 | 2017/10000
  | 7 | 42618606817/163840000000 | 27mass | 66171464979261281/67108864000000000
R00011110011001011001 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 7/40 | 1/5 | 1/2 | 5/8 | 2017/10000
  | 7 | 42618606817/163840000000 | 27mass | 1092180283693/1093500000000
R0001111001100101101 | 325913/576000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 7/40 | 1/5 | 1/2 | 5/8 |
  30458011/144000000 | 7 |
  13505792989220290742602028171931709807201924320811574507083890941300438148813151
  428350973361/5201493307925507951641668000000000000000000000000000000000000000000
  0000000000000000000000000 | 27mass | 2149495109393/2187000000000
R000111100110010111 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 7/30 | 61/240 | 7/8 | 1 | 7/40 | 1/5 | 5/8 | 3/4 | 2017/10000
  | 7 | 42618606817/163840000000 | 27mass | 2068364871437/2187000000000
R000111100110011 | 347081/720000 | 311801/480000 | 3283863/4160000 |
  2880463/2080000 | 61/240 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000
  | 3 | 410339953/1280000000 | 27mass | 45402593641841627/45864714240000000
R0001111001101 | 311801/480000 | 294161/360000 | 2017/10400 | 2880463/2080000 |
  7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 5357783/24000000 | 3 |
  22551902873732020792786342680560745115145880548242262370429150847690577321357434
  8481/704104567360093440000000000000000000000000000000000000000000000000000000000
  000000000 | 27mass | 2133139594901/2187000000000
R000111100111 | 347081/720000 | 294161/360000 | 2017/10400 | 2880463/2080000 |
  7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 3/4 | 1 | 2017/10000 | 3 |
  410339953/1280000000 | 27mass | 50279316353/54675000000
R000111101 | 347081/720000 | 294161/360000 | 2017/10400 | 2880463/2080000 | 11/40
  | 19/60 | 1/2 | 1 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 | 4782979/10000000 |
  27mass | 4034389199181/4096000000000
R0001111100 | 347081/720000 | 294161/360000 | 2880463/2080000 | 2678763/1040000 |
  7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 |
  4782979/10000000 | 29 | 955138097/1000000000
R000111110100001 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 61/240 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 |
  2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  485438239/500000000
R000111110101 | 347081/720000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 3/4 | 1 | 2017/10000 | 3 |
  12070749695856178826374099441177120651142704253823314388468897369601/25657845139
  503479003906250000000000000000000000000000000000000000000 | 29 |
  894496513/1000000000
R000111110110001 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 61/240 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | 2017/10000
  | 3 | 410339953/1280000000 | 27mass | 225852131145175879/229323571200000000
R000111110111 | 347081/720000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 3/4 | 1 | 2017/10000 | 3 |
  410339953/1280000000 | 29 | 903897823/1000000000
R000111111 | 347081/720000 | 294161/360000 | 2880463/2080000 | 2678763/1040000 |
  11/40 | 19/60 | 1/2 | 1 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 |
  4782979/10000000 | 27mass | 800706916009/819200000000
R0010 | 147/1000 | 294161/360000 | 2017/10400 | 2678763/1040000 | 19/60 | 2/5 | 0
  | 1/2 | 0 | 1/5 | 0 | 1 | 2017/10000 | 2 |
  23110487785516602729619373770877658702678575839288738376916976498484996042062867
  18608202964416168510459757633960912648869/42508100014269972460227187127657089149
  57940578460693359375000000000000000000000000000000000000000000000000000000000000
  000 | 29 | 194513619/200000000
R00110 | 147/1000 | 294161/360000 | 2017/10400 | 2678763/1040000 | 19/60 | 2/5 |
  1/2 | 1 | 0 | 1/10 | 0 | 1 | 2017/10000 | 2 |
  23110487785516602729619373770877658702678575839288738376916976498484996042062867
  18608202964416168510459757633960912648869/42508100014269972460227187127657089149
  57940578460693359375000000000000000000000000000000000000000000000000000000000000
  000 | 29 | 490497247/500000000
R0011100 | 147/1000 | 347081/720000 | 2017/10400 | 2678763/1040000 | 19/60 | 2/5 |
  1/2 | 1 | 1/10 | 1/5 | 0 | 1/2 | 2017/10000 | 2 | 4782979/10000000 | 29 |
  196009931/200000000
R0011101 | 347081/720000 | 294161/360000 | 2017/10400 | 2678763/1040000 | 19/60 |
  2/5 | 1/2 | 1 | 1/10 | 1/5 | 0 | 1/2 | 2017/10000 | 2 | 4782979/10000000 | 29 |
  9967301/10000000
R0011110 | 147/1000 | 347081/720000 | 2017/10400 | 2678763/1040000 | 19/60 | 2/5 |
  1/2 | 1 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 | 4782979/10000000 | 29 |
  242216387/250000000
R0011111 | 347081/720000 | 294161/360000 | 2017/10400 | 2678763/1040000 | 19/60 |
  2/5 | 1/2 | 1 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 | 4782979/10000000 | 29 |
  467563217/500000000
R0100 | 147/1000 | 294161/360000 | 2678763/1040000 | 198301/40000 | 7/30 | 19/60 |
  0 | 1/2 | 0 | 1/5 | 0 | 1 | 2017/10000 | 2 | 1000001/1000000 | 29 |
  473274153/500000000
R0101000 | 147/1000 | 347081/720000 | 2678763/1040000 | 198301/40000 | 7/30 |
  19/60 | 1/2 | 1 | 0 | 1/10 | 0 | 1/2 | 2017/10000 | 2 | 1000001/1000000 | 29 |
  981231463/1000000000
R010100101 | 347081/720000 | 294161/360000 | 2678763/1040000 | 7834589/2080000 |
  11/40 | 19/60 | 1/2 | 1 | 0 | 1/10 | 0 | 1/2 | 2017/10000 | 2 | 1000001/1000000
  | 29 | 494637339/500000000
R0101010 | 147/1000 | 347081/720000 | 2678763/1040000 | 198301/40000 | 7/30 |
  19/60 | 1/2 | 1 | 0 | 1/10 | 1/2 | 1 | 2017/10000 | 2 | 1000001/1000000 | 29 |
  242498441/250000000
R0101011 | 347081/720000 | 294161/360000 | 2678763/1040000 | 198301/40000 | 7/30 |
  19/60 | 1/2 | 1 | 0 | 1/10 | 1/2 | 1 | 2017/10000 | 2 | 1000001/1000000 | 29 |
  18696657/20000000
R0101100 | 147/1000 | 347081/720000 | 2678763/1040000 | 198301/40000 | 7/30 |
  19/60 | 1/2 | 1 | 1/10 | 1/5 | 0 | 1/2 | 2017/10000 | 2 | 4782979/10000000 | 29
  | 122645007/125000000
R0101101010 | 347081/720000 | 294161/360000 | 2678763/1040000 | 7834589/2080000 |
  11/40 | 19/60 | 1/2 | 3/4 | 1/10 | 1/5 | 0 | 1/2 | 2017/10000 | 2 |
  4782979/10000000 | 29 | 237866293/250000000
R010110101100 | 347081/720000 | 294161/360000 | 2678763/1040000 | 7834589/2080000
  | 11/40 | 19/60 | 3/4 | 1 | 1/10 | 3/20 | 0 | 1/4 | 2017/10000 | 3 |
  6496004202297726153870432260632865020847963140834335189234297872981375041/136356
  30878782868385314941406250000000000000000000000000000000000000000000 | 29 |
  487612083/500000000
R0101101011010 | 347081/720000 | 311801/480000 | 2678763/1040000 | 7834589/2080000
  | 11/40 | 19/60 | 3/4 | 1 | 1/10 | 3/20 | 1/4 | 1/2 | 2017/10000 | 3 |
  6496004202297726153870432260632865020847963140834335189234297872981375041/136356
  30878782868385314941406250000000000000000000000000000000000000000000 | 29 |
  993039539/1000000000
R010110101110 | 347081/720000 | 294161/360000 | 2678763/1040000 | 7834589/2080000
  | 11/40 | 19/60 | 3/4 | 1 | 3/20 | 1/5 | 0 | 1/4 | 2017/10000 | 3 |
  410339953/1280000000 | 29 | 196891143/200000000
R0101101011110 | 347081/720000 | 311801/480000 | 2678763/1040000 | 7834589/2080000
  | 11/40 | 19/60 | 3/4 | 1 | 3/20 | 1/5 | 1/4 | 1/2 | 2017/10000 | 3 |
  410339953/1280000000 | 29 | 987978181/1000000000
R0101110 | 147/1000 | 347081/720000 | 2678763/1040000 | 198301/40000 | 7/30 |
  19/60 | 1/2 | 1 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 | 4782979/10000000 | 29
  | 121239241/125000000
R0101111 | 347081/720000 | 294161/360000 | 2678763/1040000 | 198301/40000 | 7/30 |
  19/60 | 1/2 | 1 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 | 4782979/10000000 | 29
  | 93469423/100000000
R0110 | 147/1000 | 294161/360000 | 2678763/1040000 | 198301/40000 | 19/60 | 2/5 |
  0 | 1/2 | 0 | 1/5 | 0 | 1 | 2017/10000 | 2 |
  23110487785516602729619373770877658702678575839288738376916976498484996042062867
  18608202964416168510459757633960912648869/42508100014269972460227187127657089149
  57940578460693359375000000000000000000000000000000000000000000000000000000000000
  000 | 29 | 909926893/1000000000
R01110 | 147/1000 | 294161/360000 | 2678763/1040000 | 198301/40000 | 19/60 | 2/5 |
  1/2 | 1 | 0 | 1/10 | 0 | 1 | 2017/10000 | 2 |
  23110487785516602729619373770877658702678575839288738376916976498484996042062867
  18608202964416168510459757633960912648869/42508100014269972460227187127657089149
  57940578460693359375000000000000000000000000000000000000000000000000000000000000
  000 | 29 | 243726769/250000000
R0111100 | 147/1000 | 347081/720000 | 2678763/1040000 | 198301/40000 | 19/60 | 2/5
  | 1/2 | 1 | 1/10 | 1/5 | 0 | 1/2 | 2017/10000 | 2 | 4782979/10000000 | 29 |
  243501583/250000000
R01111010 | 347081/720000 | 294161/360000 | 2678763/1040000 | 7834589/2080000 |
  19/60 | 2/5 | 1/2 | 1 | 1/10 | 1/5 | 0 | 1/2 | 2017/10000 | 2 | 4782979/10000000
  | 29 | 498249101/500000000
R01111011 | 347081/720000 | 294161/360000 | 7834589/2080000 | 198301/40000 | 19/60
  | 2/5 | 1/2 | 1 | 1/10 | 1/5 | 0 | 1/2 | 2017/10000 | 2 | 4782979/10000000 | 29
  | 961970127/1000000000
R011111 | 147/1000 | 294161/360000 | 2678763/1040000 | 198301/40000 | 19/60 | 2/5
  | 1/2 | 1 | 1/10 | 1/5 | 1/2 | 1 | 2017/10000 | 2 | 4782979/10000000 | 29 |
  497411767/500000000
R1000 | 294161/360000 | 267701/180000 | 2017/10400 | 2678763/1040000 | 7/30 |
  19/60 | 0 | 1/2 | 0 | 1/5 | 0 | 1 | 4440509/18000000 | 2 | 1000001/1000000 | 29
  | 939868961/1000000000
R10010 | 294161/360000 | 267701/180000 | 2017/10400 | 2678763/1040000 | 7/30 |
  19/60 | 1/2 | 1 | 0 | 1/10 | 0 | 1 | 4440509/18000000 | 2 |
  55482522016349249086843168401753319615735504347227129372411907486161468533926586
  2481/572565594852444156646728515625000000000000000000000000000000000000000000000
  000000000 | 29 | 483024247/500000000
R100110 | 294161/360000 | 267701/180000 | 2017/10400 | 2678763/1040000 | 7/30 |
  19/60 | 1/2 | 1 | 1/10 | 1/5 | 0 | 1/2 | 4440509/18000000 | 2 | 4782979/10000000
  | 29 | 244207207/250000000
R100111 | 294161/360000 | 267701/180000 | 2017/10400 | 2678763/1040000 | 7/30 |
  19/60 | 1/2 | 1 | 1/10 | 1/5 | 1/2 | 1 | 4440509/18000000 | 2 | 4782979/10000000
  | 27mass | 2038769101481/2187000000000
R101 | 294161/360000 | 267701/180000 | 2017/10400 | 2678763/1040000 | 19/60 | 2/5
  | 0 | 1 | 0 | 1/5 | 0 | 1 | 4440509/18000000 | 2 |
  23110487785516602729619373770877658702678575839288738376916976498484996042062867
  18608202964416168510459757633960912648869/42508100014269972460227187127657089149
  57940578460693359375000000000000000000000000000000000000000000000000000000000000
  000 | 29 | 194380639/200000000
R11 | 294161/360000 | 267701/180000 | 2678763/1040000 | 198301/40000 | 7/30 | 2/5
  | 0 | 1 | 0 | 1/5 | 0 | 1 | 4440509/18000000 | 2 | 1000001/1000000 | 29 |
  960053173/1000000000
Leaf R00000000: left | right | polynomial | upper numerator with denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 15198183/17095670 | 0:Nlo | 342991715
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 99/100 | 0:Nhi | 270525978
99/100 | 450825466/452081025 | B11/25 | 21408144
450825466/452081025 | 22690788664147968/22117048082576075 | 1:Q | 80964610
22690788664147968/22117048082576075 | 11345394332073984/11058524040373975 | 1:span
  | 2
11345394332073984/11058524040373975 | 26/25 | 1:A | 34822819
26/25 | 2216830256955333/2093819338760725 | 1:A | 48088625
2216830256955333/2093819338760725 |
  586566264785736865931528409/551463771060666176408677925 | D1:A | 12237244
586566264785736865931528409/551463771060666176408677925 |
  5865662649672952639761701817/5514637712165323655070875525 | D1:span | 2
5865662649672952639761701817/5514637712165323655070875525 | 27/25 | D1:Q |
  31754755
27/25 | 52520/45949 | D1:Q | 78123934
52520/45949 | 29/25 | P | 11792726
Cell sum 993735392.
Leaf R00000001: left | right | polynomial | upper numerator with denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 15198183/17095670 | 0:Nlo | 342991715
15198183/17095670 | 9/10 | 0:Nhi | 23541388
9/10 | 99/100 | 0:Nhi | 270525980
99/100 | 450825466/442783525 | B11/25 | 88972878
450825466/442783525 | 45381577328295936/43935114105795275 | 1:Q | 45306052
45381577328295936/43935114105795275 | 22690788664147968/21967557051983575 | 1:span
  | 2
22690788664147968/21967557051983575 | 26/25 | 1:A | 17894982
26/25 | 2216830256955333/2093819338760725 | 1:A | 44390233
2216830256955333/2093819338760725 |
  392719566315066529931528409/365072714838867776408677925 | D1:A | 27568797
392719566315066529931528409/365072714838867776408677925 |
  3927195664966249279761701817/3650727149947339655070875525 | D1:span | 2
3927195664966249279761701817/3650727149947339655070875525 | 27/25 | D1:Q | 4232054
27/25 | 16839910027990933/14578702399518950 | D1:Q | 36294452
16839910027990933/14578702399518950 | 8419955032459529/7289351212556350 | D1:span
  | 2
8419955032459529/7289351212556350 | 29/25 | D1:A | 919959
Cell sum 940121944.
Leaf R0000001000: left | right | polynomial | upper numerator with denominator10^9
0 | 348723/475670 | B1 | 113821372
348723/475670 | 2441061/2729690 | 0:Nlo | 305891511
2441061/2729690 | 9/10 | 0:Nhi | 12502961
9/10 | 44192709/45416200 | 0:Nhi | 205000529
44192709/45416200 | 99/100 | 1:Q | 57587959
99/100 | 4303425111674507/4299997602473100 | B11/25 | 32352184
