S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
R00011001011110110 | 5 | 3/8
R000110010111101100 | 0 | 382361/960000
R0001100101111011000 | 1 | 2799783/1664000
R00011001011110110000 | 2 | 127/480
R00011001011110110001 | 2 | 127/480
R000110010111101101 | 0 | 382361/960000
R0001100101111011010 | 1 | 2799783/1664000
R00011001011110110100 | 2 | 127/480
R000110010111101101000 | 3 | 15/16
R0001100101111011010001 | 4 | 13/80
R00011001011110110100011 | 5 | 7/16
R000110010111101101000110 | 0 | 82117/230400
R0001100101111011010001101 | 1 | 25520767/16640000
R000110010111101101000111 | 0 | 82117/230400
R00011001011110110101 | 2 | 127/480
R0001100101111011011 | 1 | 2799783/1664000
R00011001011110110110 | 2 | 127/480
R000110010111101101100 | 3 | 15/16
R0001100101111011011000 | 4 | 13/80
R00011001011110110110000 | 5 | 7/16
R00011001011110110110001 | 5 | 7/16
R000110010111101101100010 | 0 | 2535407/5760000
R0001100101111011011001 | 4 | 13/80
R00011001011110110110010 | 5 | 7/16
R000110010111101101100100 | 0 | 2535407/5760000
R00011001011110110110011 | 5 | 7/16
R000110010111101101100110 | 0 | 2535407/5760000
R0001100101111011011001100 | 1 | 25520767/16640000
R000110010111101101100111 | 0 | 2535407/5760000
R000110010111101101101 | 3 | 15/16
R0001100101111011011010 | 4 | 13/80
R00011001011110110110101 | 5 | 7/16
R0001100101111011011011 | 4 | 13/80
R00011001011110110110111 | 5 | 7/16
R00011001011110110111 | 2 | 127/480
R000110010111101101111 | 3 | 15/16
R0001100101111011011110 | 4 | 13/80
R0001100101111011011111 | 4 | 13/80
R00011001011110110111110 | 5 | 7/16
R00011001011110110111111 | 5 | 7/16
R00011001011110111 | 5 | 3/8
R000110010111101110 | 0 | 382361/960000
R000110010111101111 | 0 | 382361/960000
R0001100101111011110 | 1 | 2799783/1664000
R00011001011110111100 | 2 | 127/480
R00011001011110111101 | 2 | 127/480
R0001100101111011111 | 1 | 2799783/1664000
R00011001011110111110 | 2 | 127/480
R000110010111101111100 | 3 | 15/16
R0001100101111011111001 | 4 | 3/16
R00011001011110111110010 | 5 | 7/16
R000110010111101111101 | 3 | 15/16
R0001100101111011111011 | 4 | 3/16
R00011001011110111110110 | 5 | 7/16
R00011001011110111111 | 2 | 127/480
R000110011 | 3 | 3/4
R0001100111 | 4 | 3/20
R00011001111 | 5 | 1/4
R000110011110 | 0 | 452921/1440000
R000110011111 | 0 | 452921/1440000
R0001100111111 | 1 | 8237989/4160000
R00011001111110 | 2 | 71/240
R000110011111100 | 3 | 7/8
R0001100111111000 | 4 | 7/40
R0001100111111001 | 4 | 7/40
R00011001111110010 | 5 | 3/8
R000110011111100101 | 0 | 382361/960000
R0001100111111001011 | 1 | 2799783/1664000
R00011001111110011 | 5 | 3/8
R000110011111100111 | 0 | 382361/960000
R0001100111111001111 | 1 | 2799783/1664000
R00011001111111 | 2 | 71/240
R000110011111110 | 3 | 7/8
R0001100111111101 | 4 | 7/40
R00011001111111010 | 5 | 3/8
R000110011111110101 | 0 | 382361/960000
R00011001111111011 | 5 | 3/8
R000110011111110111 | 0 | 382361/960000
R0001101 | 1 | 2880463/2080000
R00011010 | 2 | 11/40
R000110100 | 3 | 3/4
R0001101000 | 4 | 3/20
R00011010000 | 5 | 1/4
R000110100000 | 0 | 311801/480000
R000110100001 | 0 | 311801/480000
R0001101000010 | 1 | 3283863/4160000
R00011010000101 | 2 | 61/240
R000110100001010 | 3 | 5/8
R0001101000010101 | 4 | 1/8
R00011010000101010 | 5 | 3/8
R000110100001010101 | 0 | 325913/576000
R00011010000101011 | 5 | 3/8
R000110100001010111 | 0 | 325913/576000
R0001101000010101110 | 1 | 695753/640000
R000110100001011 | 3 | 5/8
R00011010001 | 5 | 1/4
R000110100010 | 0 | 311801/480000
R0001101000100 | 1 | 3283863/4160000
R00011010001001 | 2 | 61/240
R000110100010010 | 3 | 5/8
R000110100011 | 0 | 311801/480000
R0001101000110 | 1 | 3283863/4160000
R00011010001101 | 2 | 61/240
R000110100011010 | 3 | 5/8
R0001101000110101 | 4 | 7/40
R00011010001101010 | 5 | 3/8
R000110100011010101 | 0 | 325913/576000
R0001101000110101010 | 1 | 695753/640000
R00011010001101011 | 5 | 3/8
R000110100011010111 | 0 | 325913/576000
R000110100011011 | 3 | 5/8
R0001101000110111 | 4 | 7/40
R00011010001101110 | 5 | 3/8
R000110100011011101 | 0 | 325913/576000
R0001101001 | 4 | 3/20
R00011010010 | 5 | 1/4
R000110100100 | 0 | 311801/480000
R000110100101 | 0 | 311801/480000
R0001101001010 | 1 | 3283863/4160000
