Exact whole-source convex certificate. Every number is rational; maxima include all feasible vertices.

| bin | b lower | b upper | initial gamma | normalized capacity upper | pieces |
|---|---|---|---|---|---|
|6|1739/2500|3503/5000|100609/5000000|376449/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|6|3503/5000|441/625|376449/25000000|268171/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|6|441/625|8768418750/12370067081|268171/25000000|207759/25000000|[4, 1, (3, 4)]|[4, 1, (2, 3)]|3|
|6|8768418750/12370067081|3553/5000|0|0|None|None|0|
|6|3553/5000|1789/2500|0|0|None|None|0|
|6|1789/2500|18/25|0|0|None|None|0|
|7|6041/10000|6091/10000|18730397/50000000|38083469/100000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|7|6091/10000|6141/10000|38083469/100000000|38711277/100000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|7|6141/10000|14501615625/23583842081|38711277/100000000|38811727/100000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|7|14501615625/23583842081|218535975000/353963519921|38811727/100000000|38588483/100000000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|7|218535975000/353963519921|6191/10000|38588483/100000000|36528561/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|7|6191/10000|6241/10000|36528561/100000000|30809607/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|7|6241/10000|6291/10000|30809607/100000000|1279041/5000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|7|6291/10000|6341/10000|1279041/5000000|20842201/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|7|6341/10000|6391/10000|20842201/100000000|4148437/25000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|7|6391/10000|6441/10000|4148437/25000000|6417731/50000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|7|6441/10000|6491/10000|6417731/50000000|10545023/100000000|[3, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|7|6491/10000|6541/10000|10545023/100000000|9312641/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|7|6541/10000|7307015625/11115600281|9312641/100000000|8549653/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|7|7307015625/11115600281|6591/10000|8549653/100000000|1019747/12500000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|7|6591/10000|6641/10000|1019747/12500000|1770257/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|7|6641/10000|6691/10000|1770257/25000000|6081017/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|7|6691/10000|11803640625/17548472006|6081017/100000000|1355177/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|7|11803640625/17548472006|6741/10000|1355177/25000000|1031419/20000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|7|6741/10000|6791/10000|1031419/20000000|215463/5000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|7|6791/10000|6841/10000|215463/5000000|442189/12500000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|7|6841/10000|6891/10000|442189/12500000|710463/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
