FAMILY Q.hmin=37/200.
Grid0=131/900,1/2,1,2,4,8,16;grid1=37/208,1/2,1,2,4,8;grid2=1609/5400,1/2,1,2,4,8.
Splits: parent tag | coordinate | midpoint
1.3.4 | 2 | 3
1.4.4 | 1 | 3
1.4.40 | 2 | 3
2.3.4 | 2 | 3
2.3.40 | 1 | 3/2
2.3.400 | 2 | 5/2
2.3.401 | 2 | 5/2
2.4.4 | 1 | 3
2.4.40 | 2 | 3
2.4.400 | 1 | 5/2
2.4.4000 | 2 | 5/2
2.4.40001 | 0 | 3/4
2.4.4001 | 2 | 5/2
2.4.40011 | 0 | 3/4
2.4.401 | 1 | 5/2
2.4.4010 | 2 | 7/2
2.4.4011 | 2 | 7/2
2.4.40110 | 0 | 3/4
2.4.41 | 2 | 3
2.4.411 | 1 | 7/2
2.4.4110 | 2 | 7/2
2.4.41100 | 0 | 3/4
Rectangles: tag | l0 | u0 | l1 | u1 | l2 | u2 | h1 | h2 | total upper numerator
5.4.2 | 4 | 8 | 2 | 4 | 1/2 | 1 | 69099/100000 | 85099/100000 | 9112683
5.4.3 | 4 | 8 | 2 | 4 | 1 | 2 | 69099/100000 | 85099/100000 | 1071140608
5.4.4 | 4 | 8 | 2 | 4 | 2 | 4 | 69099/100000 | 85099/100000 | 5048193213
5.4.5 | 4 | 8 | 2 | 4 | 4 | 8 | 69099/100000 | 85099/100000 | 5048193213
5.5.1 | 4 | 8 | 4 | 8 | 1609/5400 | 1/2 | 69099/100000 | 85099/100000 | 770799
5.5.2 | 4 | 8 | 4 | 8 | 1/2 | 1 | 69099/100000 | 85099/100000 | 9112683
5.5.3 | 4 | 8 | 4 | 8 | 1 | 2 | 69099/100000 | 85099/100000 | 1071140608
5.5.4 | 4 | 8 | 4 | 8 | 2 | 4 | 69099/100000 | 85099/100000 | 5048193213
5.5.5 | 4 | 8 | 4 | 8 | 4 | 8 | 69099/100000 | 85099/100000 | 5916482883
6.1.1 | 8 | 16 | 37/208 | 1/2 | 1609/5400 | 1/2 | 125099/100000 | 157099/100000 | 5
6.1.2 | 8 | 16 | 37/208 | 1/2 | 1/2 | 1 | 125099/100000 | 157099/100000 | 5
6.1.3 | 8 | 16 | 37/208 | 1/2 | 1 | 2 | 125099/100000 | 157099/100000 | 5
6.1.4 | 8 | 16 | 37/208 | 1/2 | 2 | 4 | 125099/100000 | 157099/100000 | 5
6.1.5 | 8 | 16 | 37/208 | 1/2 | 4 | 8 | 125099/100000 | 157099/100000 | 5
6.2.1 | 8 | 16 | 1/2 | 1 | 1609/5400 | 1/2 | 125099/100000 | 157099/100000 | 5
6.2.2 | 8 | 16 | 1/2 | 1 | 1/2 | 1 | 125099/100000 | 157099/100000 | 5
6.2.3 | 8 | 16 | 1/2 | 1 | 1 | 2 | 125099/100000 | 157099/100000 | 5
6.2.4 | 8 | 16 | 1/2 | 1 | 2 | 4 | 125099/100000 | 157099/100000 | 5
6.2.5 | 8 | 16 | 1/2 | 1 | 4 | 8 | 125099/100000 | 157099/100000 | 5
6.3.1 | 8 | 16 | 1 | 2 | 1609/5400 | 1/2 | 125099/100000 | 157099/100000 | 6
6.3.2 | 8 | 16 | 1 | 2 | 1/2 | 1 | 125099/100000 | 157099/100000 | 6
6.3.3 | 8 | 16 | 1 | 2 | 1 | 2 | 125099/100000 | 157099/100000 | 4001240
6.3.4 | 8 | 16 | 1 | 2 | 2 | 4 | 125099/100000 | 157099/100000 | 43777755
6.3.5 | 8 | 16 | 1 | 2 | 4 | 8 | 125099/100000 | 157099/100000 | 43777755
6.4.1 | 8 | 16 | 2 | 4 | 1609/5400 | 1/2 | 125099/100000 | 157099/100000 | 6
6.4.2 | 8 | 16 | 2 | 4 | 1/2 | 1 | 125099/100000 | 157099/100000 | 6
6.4.3 | 8 | 16 | 2 | 4 | 1 | 2 | 125099/100000 | 157099/100000 | 4001240
6.4.4 | 8 | 16 | 2 | 4 | 2 | 4 | 125099/100000 | 157099/100000 | 990676004
6.4.5 | 8 | 16 | 2 | 4 | 4 | 8 | 125099/100000 | 157099/100000 | 1472020656
6.5.1 | 8 | 16 | 4 | 8 | 1609/5400 | 1/2 | 125099/100000 | 157099/100000 | 5
6.5.2 | 8 | 16 | 4 | 8 | 1/2 | 1 | 125099/100000 | 157099/100000 | 5
6.5.3 | 8 | 16 | 4 | 8 | 1 | 2 | 125099/100000 | 157099/100000 | 4001239
6.5.4 | 8 | 16 | 4 | 8 | 2 | 4 | 125099/100000 | 157099/100000 | 990676003
6.5.5 | 8 | 16 | 4 | 8 | 4 | 8 | 125099/100000 | 157099/100000 | 4874453719
Rectangle 1.1.1. l | r | polynomial | upper numerator
0 | 1091/2500 | B1 | 30143467
1091/2500 | 12300249464832/18172859399375 | 2:Qbal | 308427567
12300249464832/18172859399375 | 6150124732416/9086429696875 | 1:Qbal | 2
6150124732416/9086429696875 | 9/10 | 2:E1 | 858428040
9/10 | 26/25 | 2:E1 | 1199647047
26/25 | 27/25 | 2:E1 | 491645448
27/25 | 29/25 | 2:E1 | 1331739734
Rectangle 1.1.2. l | r | polynomial | upper numerator
0 | 319/500 | B1 | 430273651
319/500 | 67/100 | 0:N5lo | 175795751
67/100 | 17/20 | 1:Qbal | 2058400739
17/20 | 9/10 | 2:Qbal | 773346292
9/10 | 42740830175232/46358582279375 | 2:Qbal | 304818901
42740830175232/46358582279375 | 21370415087616/23179291136875 | 1:Qbal | 3
21370415087616/23179291136875 | 26/25 | 2:E1 | 1569727382
26/25 | 27/25 | 2:E1 | 531937628
27/25 | 29/25 | 2:E1 | 1247865743
Rectangle 1.1.3. l | r | polynomial | upper numerator
0 | 319/500 | B1 | 430273651
319/500 | 67/100 | 0:N5lo | 175795751
67/100 | 9/10 | 1:Qbal | 2956233935
9/10 | 27573/27500 | 1:Qbal | 2287638207
27573/27500 | 103621991596032/102730028039375 | 2:Qbal | 143987492
103621991596032/102730028039375 | 3985461215232/3951154924375 | 1:Qbal | 2
3985461215232/3951154924375 | 26/25 | 2:E1 | 638235711
26/25 | 27/25 | 2:E1 | 623932872
27/25 | 29/25 | 2:E1 | 1063875255
Rectangle 1.1.4. l | r | polynomial | upper numerator
0 | 319/500 | B1 | 430273651
319/500 | 67/100 | 0:N5lo | 175795751
67/100 | 9/10 | 1:Qbal | 2956233935
9/10 | 755377373184/726914375975 | 1:Qbal | 3245078504
755377373184/726914375975 | 377688686592/363457187875 | 2:Qbal | 12
377688686592/363457187875 | 26/25 | 1:E1 | 23048247
26/25 | 112692157218816/107736459776875 | 1:E1 | 166896379
112692157218816/107736459776875 | 27/25 | 2:E1 | 681558976
27/25 | 29/25 | 2:E1 | 780471035
Rectangle 1.1.5. l | r | polynomial | upper numerator
0 | 319/500 | B1 | 430273651
319/500 | 67/100 | 0:N5lo | 175795751
67/100 | 9/10 | 1:Qbal | 2956233935
9/10 | 755377373184/726914375975 | 1:Qbal | 3245078504
755377373184/726914375975 | 377688686592/363457187875 | B11/25 | 13
377688686592/363457187875 | 26/25 | 1:E1 | 23048247
26/25 | 21314043641856/20043577390625 | 1:E1 | 684285167
21314043641856/20043577390625 | 27/25 | 2:E1 | 352996962
27/25 | 29/25 | 2:E1 | 446689771
